rank,name
genus,Rosa
family,Orchidaceae
family,Nymphaeaceae
class,Mammalia
class,Aves
class,Amphibia
class,Reptilia
phylum,Bryophyta
genus,Coregonus
genus,Sphagnum
genus,Lycopodium
genus,Salicornia
family,Acipenseridae
class,Elasmobranchii
class,Actinopterygii
kingdom,Fungi
family,Soricidae
family,Gliridae
family,Cervidae
order,Cetacea
genus,Anthropoides
genus,Antigone
genus,Grus
family,Acanthizidae
family,Accipitridae
family,Acrocephalidae
family,Aegithalidae
family,Anatidae
family,Anseranatidae
family,Artamidae
family,Bernieridae
family,Cathartidae
family,Cheloniidae
family,Cinclosomatidae
family,Cisticolidae
family,Dasyornithidae
family,Dermochelyidae
family,Eulacestomatidae
family,Eupetidae
family,Falconidae
family,Falcunculidae
family,Haematopodidae
family,Hyliotidae
family,Hylocitreidae
family,Ibidorhynchidae
family,Ifritidae
family,Leiotrichidae
family,Locustellidae
family,Machaerirhynchidae
family,Macrosphenidae
family,Maluridae
family,Melampittidae
family,Meliphagidae
family,Mohouidae
family,Monarchidae
family,Motacillidae
family,Muscicapidae
family,Oreoicidae
family,Oriolidae
family,Orthonychidae
family,Pachycephalidae
family,Panuridae
family,Pellorneidae
family,Petroicidae
family,Phoenicopteridae
family,Phylloscopidae
family,Picathartidae
family,Platysteiridae
family,Pluvianellidae
family,Pnoepygidae
family,Polioptilidae
family,Pomatostomidae
family,Psophodidae
family,Recurvirostridae
family,Regulidae
family,Rhagologidae
family,Rhinolophidae
family,Rhipiduridae
family,Scolopacidae
family,Scotocercidae
family,Stenostiridae
family,Sylviidae
family,Timaliidae
family,Turdidae
family,Vangidae
family,Vespertilionidae
family,Vireonidae
family,Zosteropidae
genus,Eudontomyzon
genus,Alosa
genus,Phoxinellus
genus,Zingel
